,name_y,real_name,ID,SEX,GSM,birth,origin,ALIVE,EYE,HAIR,FIRST APPEARANCE,APPEARANCES,pubname,name_x
0,Batman,Bruce Wayne,Secret Identity,Male Characters,,"Feb 19, 1972",Human,Living Characters,Blue Eyes,Black Hair,"1939, May",3093.0,DC Comics,Batman (Bruce Wayne)
1,Superman,Kal-El / Clark Joseph Kent,Secret Identity,Male Characters,,"Jun 18, 1971",Alien,Living Characters,Blue Eyes,Black Hair,"1986, October",2496.0,DC Comics,Superman (Clark Kent)
2,James Gordon,James Worthington Gordon,Public Identity,Male Characters,,"Jan 5, 1900",Human,Living Characters,Brown Eyes,White Hair,"1987, February",1316.0,DC Comics,James Gordon (New Earth)
3,Wonder Woman,Diana of Themyscira,Public Identity,Female Characters,,"Mar 21, 1881",Other,Living Characters,Blue Eyes,Black Hair,"1941, December",1231.0,DC Comics,Wonder Woman (Diana Prince)
4,Aquaman,Arthur Curry,Public Identity,Male Characters,,"Jan 29, 1977",Other,Living Characters,Blue Eyes,Blond Hair,"1941, November",1121.0,DC Comics,Aquaman (Arthur Curry)
5,Tim Drake,Timothy Jackson Drake,Secret Identity,Male Characters,,"Jul 19, 1997",Human,Living Characters,Blue Eyes,Black Hair,"1989, August",1095.0,DC Comics,Timothy Drake (New Earth)
6,Black Canary,Dinah Lance,Public Identity,Female Characters,,"Apr 10, 1986",Human,Living Characters,Blue Eyes,Blond Hair,"1969, November",1075.0,DC Comics,Dinah Laurel Lance (New Earth)
7,Barbara Gordon,Barbara Gordon,Secret Identity,Female Characters,,"Sep 23, 1990",Human,Living Characters,Blue Eyes,Red Hair,"1967, January",951.0,DC Comics,Barbara Gordon (New Earth)
11,Superwoman,Lois Lane,Public Identity,Female Characters,,"Mar 22, 1941",God/Eternal,Living Characters,Blue Eyes,Black Hair,"1938, June",934.0,DC Comics,Lois Lane (New Earth)
12,Power Girl,Kara Zor-L / Karen Starr,Secret Identity,Female Characters,,"Sep 22, 1973",Alien,Living Characters,Blue Eyes,Blond Hair,"1976, February",635.0,DC Comics,Kara Zor-L (Earth-Two)
13,Elongated Man,Randolph William Dibny,Public Identity,Male Characters,,"Mar 14, 1992",Human,Deceased Characters,Blue Eyes,Red Hair,"1960, May",558.0,DC Comics,Ralph Dibny (New Earth)
14,Joker,Unknown,Secret Identity,Male Characters,,"Apr 1, 1940",Other,Living Characters,Green Eyes,Green Hair,"1940, June",517.0,DC Comics,Joker (New Earth)
15,Zatanna,Zatanna Zatara,Public Identity,Female Characters,,"May 20, 1973",Human,Living Characters,Blue Eyes,Black Hair,"1964, November",439.0,DC Comics,Zatanna Zatara (New Earth)
16,Zatara,Giovanni Zatara,Public Identity,Female Characters,,"Mar 10, 1919",Human,Living Characters,Blue Eyes,Black Hair,"1964, November",439.0,DC Comics,Zatanna Zatara (New Earth)
17,Ted Kord,Theodore Edward Kord,Secret Identity,Male Characters,,"May 10, 1974",Human,Deceased Characters,Blue Eyes,Brown Hair,"1986, February",429.0,DC Comics,Theodore Kord (New Earth)
18,Booster Gold,Michael Jon Carter,Public Identity,Male Characters,,"Dec 29, 2442",Human,Living Characters,Blue Eyes,Blond Hair,"1986, February",427.0,DC Comics,Michael Jon Carter (New Earth)
19,Perforated Man,Michael Jon Carter,Public Identity,Male Characters,,"Dec 29, 2442",Human,Living Characters,Blue Eyes,Blond Hair,"1986, February",427.0,DC Comics,Michael Jon Carter (New Earth)
20,John Constantine,John Constantine,Public Identity,Male Characters,Bisexual Characters,"May 10, 1953",Human,Living Characters,Blue Eyes,Blond Hair,"1984, June",371.0,DC Comics,John Constantine (New Earth)
21,Billy Batson,William Joseph Batson,Secret Identity,Male Characters,,"Jan 24, 1996",God/Eternal,Living Characters,Blue Eyes,Black Hair,"1940, February",321.0,DC Comics,William Batson (New Earth)
22,Renee Montoya,Renee Maria Montoya,Secret Identity,Female Characters,Homosexual Characters,"Sep 7, 1970",Human,Living Characters,Brown Eyes,Black Hair,"1992, March",308.0,DC Comics,Renee Montoya (New Earth)
23,Jonah Hex,Jonah Woodson Hex,Public Identity,Male Characters,,"Nov 1, 1838",Human,Deceased Characters,Blue Eyes,Blond Hair,"1972, March",291.0,DC Comics,Jonah Hex (New Earth)
25,Cassandra Cain,Cassandra Cain-Wayne,Secret Identity,Female Characters,,"Jan 26, 1989",Human,Living Characters,Brown Eyes,Black Hair,"1999, July",235.0,DC Comics,Cassandra Cain (New Earth)
26,Jason Todd,"Jason Peter ""Jay"" Todd",Secret Identity,Male Characters,,"Aug 16, 1993",Human,Living Characters,Blue Eyes,Black Hair,"1987, June",235.0,DC Comics,Jason Todd (New Earth)
27,Maxwell Lord,Maxwell Lord IV,Public Identity,Male Characters,,"Apr 1, 1951",Human,Living Characters,Black Eyes,Brown Hair,"1987, May",218.0,DC Comics,Maxwell Lord IV (New Earth)
28,Sgt. Jeb Stuart,Jeb Stuart Smith,Public Identity,Male Characters,,"May 9, 1920",Human,Living Characters,Blue Eyes,Brown Hair,"1961, May",218.0,DC Comics,Jeb Stuart (New Earth)
29,Stephanie Brown,Stephanie Brown,Secret Identity,Female Characters,,"Aug 11, 1992",Human,Living Characters,Blue Eyes,Blond Hair,"1992, August",198.0,DC Comics,Stephanie Brown (New Earth)
30,Talia al Ghul,Talia al Ghul,Secret Identity,Female Characters,,"Dec 1, 1972",Human,Deceased Characters,Brown Eyes,Brown Hair,"1971, May",177.0,DC Comics,Talia al Ghul (New Earth)
31,Mary Marvel,Mary Batson,Secret Identity,Female Characters,,"Jan 24, 1996",God/Eternal,Living Characters,Blue Eyes,Brown Hair,"1995, April",168.0,DC Comics,Mary Batson (New Earth)
33,Uncle Sam,,Secret Identity,Male Characters,,"Jul 4, 1776",Other,Living Characters,Blue Eyes,White Hair,"1940, July",162.0,DC Comics,Uncle Sam (New Earth)
36,Emil Hamilton,Emil Hamilton,Public Identity,Male Characters,,"Apr 25, 1950",Human,Living Characters,Hazel Eyes,Grey Hair,"1987, January",126.0,DC Comics,Emil Hamilton (New Earth)
